report_date,demand,overall,price_outlook,supply
2019-01-31,0.33139535499999995,,0.30383421555,-0.02565262
2019-02-28,0.344132105,-0.7,0.8090142250000001,0.59597464
2019-03-31,0.20719881452239575,-0.7,0.08043645550944,0.02683177499999999
2019-04-30,-0.042111612600500004,-0.6,-0.0042857835869900005,0.08673909299999999
2019-05-31,-0.41695118800000003,-0.3,0.66918469,-0.25832611
2019-06-30,0.508369325,-0.7,0.66954461,0.10809705800000001
2019-07-31,0.08464793575000001,-0.6,0.6494387500000001,0.040427524135
2019-08-31,-0.07990821749999999,-0.6,0.01199200840924775,0.006287723355
2019-09-30,-0.19854627107,-0.4,0.18925771985,0.134617122935
2019-10-31,-0.15313834239749996,-0.6,-0.0724307687685,0.547159263
2019-11-30,-0.2164556441875,-0.6,0.12349045378102999,0.10821689
2019-12-31,0.030703613427500005,0.3,0.74999985,0.073560365
2020-01-31,0.26842459750000003,-0.4,2.0028025e-05,-0.191248065
2020-02-29,0.4978409875,-0.8,0.16659798679280002,0.1074963213
2020-03-31,0.5323214725000001,-0.8,0.62594533,0.09923167
2020-04-30,0.306716682,-0.9,0.45494883999999997,0.6584550499999999
2020-05-31,0.34540471175,-0.8,0.0109758332,0.540902445
2020-06-30,0.48561511999999996,-0.8,0.608931305,0.6342127049999999
2020-07-31,0.1300441755,0.8,-0.098708384885,0.5816163799999999
2020-08-31,-0.06896946000000002,-0.4,0.15495816629275,-0.36535491000000003
2020-09-30,0.17791459249999997,-0.6,0.7882034849999999,0.28477378
2020-10-31,0.3619399275,-0.6,0.7750297,0.58310755
2020-11-30,0.123715015,0.6,0.78613725,0.59626722
2020-12-31,-0.2156179545,0.4,0.82017425,0.22601881499999998
2021-01-31,-0.36104393788236,0.7,0.27309604849999997,0.156091215
2021-02-28,-0.4458535495331,0.7,0.0317628527114615,0.05323310500000001
2021-03-31,-0.19865035749999999,0.4,0.7392487050000001,0.618226065
2021-04-30,0.045314447499999994,0.7,0.4172831,0.099458258
2021-05-31,0.11548626250000002,0.3,0.1941854311424,0.643521055
2021-06-30,-0.5458057210925,0.7,0.826734605,0.11846924578355
2021-07-31,-0.2011938212265,0.7,0.18030810000000003,0.07843525975
2021-08-31,-0.0012069826924999971,0.6,0.1791116406733635,0.17055878334
2021-09-30,-0.428971285704299,0.8,0.060619331326563004,0.638258575
